variables = x, rho_A, u_A, p_A, e_A, et_A, T_A, c_A, M_A, h_A, rho_LaxD, u_LaxD, p_LaxD, mo_LaxD, e_LaxD, et_LaxD, T_LaxD, c_LaxD, M_LaxD, h_LaxD, rho_LaxH, u_LaxH, p_LaxH, mo_LaxH, e_LaxH, et_LaxH, T_LaxH, c_LaxH, M_LaxH, h_LaxH, rho_RoeD, u_RoeD, p_RoeD, mo_RoeD, e_RoeD, et_RoeD, T_RoeD, c_RoeD, M_RoeD, h_RoeD, rho_RoeH, u_RoeH, p_RoeH, mo_RoeH, e_RoeH, et_RoeH, T_RoeH, c_RoeH, M_RoeH, h_RoeH
0.160784314,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,1.39E-12,1,1.39E-12,2.5,2.5,1,1.18322,1.17E-12,3.5,1,1.38761E-12,1,1.38761E-12,2.5,2.5,1,1.18322,1.17275E-12,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.164705882,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,5.71E-12,1,5.71E-12,2.5,2.5,1,1.18322,4.82E-12,3.5,1,5.70533E-12,1,5.70533E-12,2.5,2.5,1,1.18322,4.82188E-12,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.168627451,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,2.26E-11,1,2.26E-11,2.5,2.5,1,1.18322,1.91E-11,3.5,1,2.25716E-11,1,2.25716E-11,2.5,2.5,1,1.18322,1.90765E-11,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.17254902,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,8.59E-11,1,8.59E-11,2.5,2.5,1,1.18322,7.26E-11,3.5,1,8.59321E-11,1,8.59321E-11,2.5,2.5,1,1.18322,7.26259E-11,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.176470588,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,3.15E-10,1,3.15E-10,2.5,2.5,1,1.18322,2.66E-10,3.5,1,3.14818E-10,1,3.14818E-10,2.5,2.5,1,1.18322,2.6607E-10,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.180392157,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,1.11E-09,1,1.11E-09,2.5,2.5,1,1.18322,9.38E-10,3.5,1,1.10984E-09,1,1.10984E-09,2.5,2.5,1,1.18322,9.3799E-10,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.184313725,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,3.76E-09,1,3.76E-09,2.5,2.5,1,1.18322,3.18E-09,3.5,1,3.76469E-09,1,3.76469E-09,2.5,2.5,1,1.18322,3.18174E-09,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.188235294,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,1.23E-08,1,1.23E-08,2.5,2.5,1,1.18322,1.04E-08,3.5,1,1.22858E-08,1,1.22858E-08,2.5,2.5,1,1.18322,1.03834E-08,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.192156863,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,3.86E-08,1,3.86E-08,2.5,2.5,1,1.18322,3.26E-08,3.5,1,3.85659E-08,1,3.85659E-08,2.5,2.5,1,1.18322,3.25941E-08,3.5,1,6.92457E-17,1,6.92457E-17,2.5,2.5,1,1.18322,5.85233E-17,3.5,1,6.92457E-17,1,6.92457E-17,2.5,2.5,1,1.18322,5.85233E-17,3.5
0.196078431,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0.000000116,1,0.000000116,2.5,2.5,1,1.18322,9.84E-08,3.5,1,1.16419E-07,1,1.16419E-07,2.5,2.5,1,1.18322,9.83916E-08,3.5,1,6.22976E-16,1,6.22976E-16,2.5,2.5,1,1.18322,5.26511E-16,3.5,1,6.22976E-16,1,6.22976E-16,2.5,2.5,1,1.18322,5.26511E-16,3.5
